stu_id, eventA, eventB, eventC, eventD, eventE, eventF
70233937, 0.000000, 0.090000, 0.420000, 0.010000, 0.020000, 0.000000
94320163, 0.000000, 0.060000, 0.480000, 0.010000, 0.000000, 0.200000
31133242, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
62299016, 0.030000, 0.020000, 0.000000, 0.000000, 0.000000, 0.000000
29224773, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
79297672, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
31537109, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
14993225, 0.020000, 0.010000, 0.000000, 0.000000, 0.000000, 0.000000
44229330, 0.000000, 0.020000, 0.000000, 0.000000, 0.000000, 0.020000
56469986, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
88865393, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
76100224, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
22822940, 0.000000, 0.040000, 0.020000, 0.130000, 0.050000, 0.060000
43943629, 0.030000, 0.020000, 0.020000, 0.010000, 0.000000, 0.020000
28068877, 0.180000, 0.000000, 0.020000, 0.000000, 0.000000, 0.000000
51399169, 0.000000, 0.000000, 0.000000, 0.000000, 0.020000, 0.040000
91795218, 0.580000, 0.150000, 0.000000, 0.000000, 0.020000, 0.000000
1639181, 0.240000, 0.570000, 0.600000, 0.150000, 0.600000, 0.700000
18192827, 0.020000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
22940234, 0.020000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
92297907, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
77769892, 0.000000, 0.000000, 0.000000, 0.010000, 0.000000, 0.000000
42999792, 0.000000, 0.000000, 0.020000, 0.000000, 0.000000, 0.000000
91924121, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
29029964, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
61871022, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
26149279, 0.640000, 0.380000, 0.000000, 0.010000, 0.070000, 0.000000
29643441, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
59714903, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
46411633, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
92913129, 0.020000, 0.000000, 0.000000, 0.000000, 0.000000, 0.020000
29208174, 0.000000, 0.010000, 0.000000, 0.000000, 0.000000, 0.000000
32569348, 0.030000, 0.020000, 0.000000, 0.000000, 0.000000, 0.000000
27269638, 0.020000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
13331214, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
93432920, 0.020000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
76243323, 0.000000, 0.000000, 0.020000, 0.000000, 0.000000, 0.000000
22733209, 0.020000, 0.060000, 0.740000, 1.000000, 0.800000, 1.000000
19599317, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
21281232, 0.110000, 0.150000, 0.160000, 0.030000, 0.070000, 0.000000
59322429, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
22119891, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
23992044, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
98263116, 0.540000, 0.010000, 0.000000, 0.010000, 0.020000, 0.040000
