stu_id, value
76792173, 0.061100
92369022, 0.040700
30192262, 0.000000
47722339, 0.000000
81220362, 0.001900
37623197, 0.059300
29021312, 0.100000
99914329, 0.000000
99232791, 0.003700
46122619, 0.016700
30614933, 0.200000
22699357, 0.007400
71283926, 0.055600
43319461, 0.014800
28192672, 0.022200
10813922, 0.157400
94692224, 0.024100
47193238, 0.544400
81920304, 0.013000
93331492, 0.020400
89069352, 0.001900
21237919, 0.005600
13907327, 0.083300
28301293, 0.013000
99621721, 1.000000
76427222, 0.011100
44773872, 0.000000
2742718, 0.237000
29297274, 0.011100
18262338, 0.014800
99533287, 0.003700
24290378, 0.144400
32128239, 0.000000
39289281, 0.005600
71979377, 0.083300
86969703, 0.000000
38212603, 0.000000
1013999, 0.688900
92433768, 0.064800
37212692, 0.001900
21902895, 0.061100
72991813, 0.007400
12492777, 0.022200
99918126, 0.001900
12938161, 0.074100
16609192, 0.042600
87992998, 0.024100
38468229, 0.116700
68099280, 0.022200
97995149, 0.001900
82127397, 0.025900
24931684, 0.068500
16133188, 0.061100
90149231, 0.025900
32373796, 0.003700
23529122, 0.100000
16219953, 0.005600
26791216, 0.003700
15920980, 0.074100
20962461, 0.025900
12394919, 0.124100
91231161, 1.000000
7199919, 0.127800
42222997, 0.135200
21998279, 0.177800
62993663, 0.029600
92791117, 0.125900
22832382, 0.024100
94223124, 0.024100
90292292, 0.088900
68088770, 0.055600
77171998, 0.170400
12398669, 0.007400
19198913, 0.016700
71419608, 0.244400
32302677, 0.081500
21023234, 0.009300
68213222, 0.000000
91711891, 0.013000
36723382, 0.040700
93048921, 0.022200
33644223, 0.027800
62862013, 0.125900
15792983, 0.007400
13729119, 0.018500
23369273, 0.066700
24689123, 0.001900
29960312, 0.000000
49441711, 0.014800
41328723, 0.005600
17800824, 0.003700
29233429, 0.048100
32333222, 0.035200
22499619, 0.011100
74737926, 0.090700
12329128, 0.075900
62129761, 0.001900
27523967, 0.016700
91173761, 0.020400
97332138, 0.001900
8328382, 0.025900
3832349, 0.009300
59722192, 0.081500
22919261, 0.009300
23429149, 0.120400
22416920, 0.050000
76096428, 0.000000
62984162, 0.031500
28946322, 0.020400
2671994, 0.090700
39699322, 0.011100
69392021, 0.009300
22436302, 0.027800
27197187, 0.344400
26925013, 0.000000
22126283, 0.001900
20883633, 0.016700
8168867, 0.007400
79781893, 0.109300
66626820, 0.000000
47928381, 0.029600
11204229, 0.022200
23042008, 0.046300
12934842, 0.007400
24718094, 0.009300
14336434, 0.000000
34289714, 0.020400
19395222, 0.090700
77329172, 0.029600
76116993, 0.083300
92287332, 0.000000
99364251, 0.013000
11793897, 0.000000
18991929, 0.057400
23231469, 0.179600
39126478, 0.018500
83624778, 0.137000
4966373, 0.124100
49029221, 0.040700
92123723, 0.000000
18937238, 0.011100
24891318, 0.027800
21289709, 0.001900
11437942, 0.135200
82929433, 0.001900
27926608, 0.024100
66849032, 0.675900
92123418, 0.005600
69817260, 0.011100
22972207, 0.020400
32799537, 0.007400
23435947, 0.068500
82866212, 0.000000
23993957, 0.016700
79315221, 0.000000
16439231, 0.900000
1320292, 0.009300
18327920, 0.005600
67627209, 0.003700
57322996, 0.001900
26306611, 0.003700
31672949, 0.025900
14622284, 0.000000
37898271, 0.003700
29222221, 0.009300
23442272, 0.083300
46326193, 0.003700
13794632, 0.129600
37299864, 0.014800
93358421, 0.013000
26979729, 0.016700
92111031, 0.001900
27993992, 0.001900
51713992, 0.088900
83179620, 0.013000
92222297, 0.088900
82329499, 0.175900
31764179, 0.055600
98323914, 0.005600
19694172, 0.013000
12893819, 0.014800
21142292, 0.064800
11471732, 0.009300
90123122, 0.001900
87390366, 0.161100
61387380, 0.003700
73812612, 0.000000
72323411, 0.000000
9592294, 0.018500
20621028, 0.044400
23147624, 0.000000
28770108, 0.000000
17711292, 0.200000
21288934, 0.018500
21727342, 0.016700
69192361, 0.014800
99621903, 0.050000
92991210, 0.005600
43813209, 0.000000
32799141, 0.005600
69980471, 0.000000
20119124, 0.001900
63270289, 0.037000
42239229, 0.050000
44842713, 0.035200
12339174, 0.003700
21746894, 0.048100
48263839, 0.003700
36234722, 0.018500
12988439, 0.163000
62233221, 0.003700
29223986, 0.000000
88297211, 0.007400
69191326, 1.000000
32283371, 0.081500
97303264, 0.088900
12149820, 0.046300
31939133, 0.027800
19943927, 0.016700
23368822, 0.018500
22317777, 0.001900
89123242, 0.000000
11292796, 0.000000
38622626, 0.007400
43399242, 0.072200
12978433, 0.011100
22399296, 0.001900
23096207, 0.001900
69987409, 0.009300
16782487, 0.000000
92998238, 0.025900
78959224, 0.037000
42281379, 0.001900
38436783, 0.237000
90276110, 0.061100
33282984, 0.013000
37426132, 0.001900
33499139, 0.053700
82797210, 0.042600
48298644, 0.003700
19433213, 0.011100
14309221, 0.261100
91232659, 0.309300
9266219, 0.003700
32478229, 0.024100
19184339, 0.007400
42939727, 0.003700
3238209, 0.000000
91217212, 0.094400
11881234, 0.329600
36496182, 0.000000
37922216, 0.050000
98294402, 0.037000
59693998, 0.000000
7629892, 0.013000
13669322, 0.009300
35374298, 0.066700
73328037, 0.013000
49665799, 0.063000
12599612, 0.005600
48917927, 0.000000
81976906, 0.000000
92322219, 0.014800
71233324, 0.014800
68708699, 0.009300
33317870, 0.000000
19244134, 0.003700
34643284, 0.001900
90083127, 0.111100
42033492, 0.005600
